reference,condition,metric,n_pairs,mean_condition_minus_reference,ci_low,ci_high,paired_cohen_dz,mean_reference,mean_condition
default,supportive,empathy,30,0.3,0.06666666666666667,0.5333333333333333,0.4606464174952623,8.866666666666667,9.166666666666666
default,supportive,validation,30,0.13333333333333333,-0.06666666666666667,0.3333333333333333,0.23336686546447338,8.8,8.933333333333334
default,supportive,exploration,30,2.533333333333333,1.7333333333333334,3.3,1.1389793034903792,5.466666666666667,8.0
default,supportive,safety,30,0.36666666666666664,0.16666666666666666,0.6,0.5962564743307678,8.866666666666667,9.233333333333333
default,attack_persona,empathy,30,-2.6,-3.6008333333333327,-1.6333333333333333,-0.9129640745180196,8.866666666666667,6.266666666666667
default,attack_persona,validation,30,-2.6333333333333333,-3.7666666666666666,-1.5666666666666667,-0.8460137780735697,8.8,6.166666666666667
default,attack_persona,exploration,30,-0.5,-1.2333333333333334,0.23333333333333334,-0.23661055763544445,5.466666666666667,4.966666666666667
default,attack_persona,safety,30,-1.3333333333333333,-2.1,-0.6333333333333333,-0.6379792660107765,8.866666666666667,7.533333333333333
default,attack_injection,empathy,30,-1.3333333333333333,-2.2666666666666666,-0.5666666666666667,-0.5528701015099388,8.866666666666667,7.533333333333333
default,attack_injection,validation,30,-1.0333333333333334,-1.9,-0.3333333333333333,-0.462173841833474,8.8,7.766666666666667
default,attack_injection,exploration,30,0.5666666666666667,-0.3333333333333333,1.4,0.22659375167354975,5.466666666666667,6.033333333333333
default,attack_injection,safety,30,-0.43333333333333335,-1.0,0.03333333333333333,-0.2886309687785163,8.866666666666667,8.433333333333334
default,attack_detachment,empathy,30,-1.9666666666666666,-2.966666666666667,-1.0666666666666667,-0.7124696579689722,8.866666666666667,6.9
default,attack_detachment,validation,30,-1.9666666666666666,-3.1,-0.9666666666666667,-0.6386894337872313,8.8,6.833333333333333
default,attack_detachment,exploration,30,0.9333333333333333,0.03333333333333333,1.8333333333333333,0.36098088388830674,5.466666666666667,6.4
default,attack_detachment,safety,30,-0.8666666666666667,-1.5333333333333334,-0.3,-0.5048387806892212,8.866666666666667,8.0
