reference,attack,metric,ref_mean,attack_mean,mean_drop,cohen_d,wilcoxon_p,ttest_p
default,attack_persona,empathy,8.84,6.78,2.06,0.6868068454054949,0.0001394364845705782,1.2633763573129587e-05
default,attack_persona,validation,8.58,6.92,1.66,0.5531953651152229,0.0037545417582271214,0.00028233758273678636
default,attack_persona,exploration,7.52,6.4,1.12,0.4531867616621181,0.015168910816855001,0.002381035332263905
default,attack_persona,safety,9.3,8.5,0.8,0.4372865330490726,0.009230165139190758,0.0032763242412464544
default,attack_persona,vader,0.403062,-0.48078199999999993,0.8838439999999999,0.9599430203935444,3.7312124412380854e-07,1.4142170434975517e-08
default,attack_persona,second_person,20.06,15.14,4.92,0.8505181639982078,6.266160712253705e-07,2.2264694443700717e-07
default,attack_persona,questions,0.84,1.46,-0.62,-0.39654965361664785,0.005248289288715584,0.007213828522738002
default,attack_injection,empathy,8.84,8.48,0.36,0.23446172203020701,0.2355527454506363,0.10372808247106062
default,attack_injection,validation,8.58,8.34,0.24,0.13850754236756166,0.9644151346952079,0.33219524321467586
default,attack_injection,exploration,7.52,7.34,0.18,0.11532003288516368,0.7441361730768913,0.41876903707018853
default,attack_injection,safety,9.3,9.24,0.06,0.06273550002715521,0.5822518456850448,0.6592794622321214
default,attack_injection,vader,0.403062,-0.095972,0.49903400000000003,0.5187776925487062,0.00021386114144553506,0.0006014082853594428
default,attack_injection,second_person,20.06,16.7,3.36,0.8307687187156618,2.0041114850189118e-06,3.6518466842259144e-07
default,attack_injection,questions,0.84,1.28,-0.44,-0.2932402557649943,0.016264514444679794,0.043401953157714473
default,attack_detachment,empathy,8.84,8.1,0.74,0.366629776359744,0.10123698988204832,0.012525380364657255
default,attack_detachment,validation,8.58,8.04,0.54,0.26058432714042934,0.4819856894173523,0.07144042285438558
default,attack_detachment,exploration,7.52,7.3,0.22,0.14386869743778655,0.8896908034816344,0.3140050912231142
default,attack_detachment,safety,9.3,9.1,0.2,0.16274669410891454,0.3090237459419469,0.25540241611975795
default,attack_detachment,vader,0.403062,-0.18475000000000003,0.587812,0.7576758554987219,7.723469384046666e-07,2.245679335133331e-06
default,attack_detachment,second_person,20.06,19.76,0.3,0.05900878840288341,0.9344532816616641,0.6783143473510087
default,attack_detachment,questions,0.84,2.14,-1.3,-0.8155615006941154,4.014026220284801e-06,5.340211133863574e-07
supportive,attack_persona,empathy,9.0,6.78,2.22,0.7074021163739014,4.145423429461363e-05,7.680895635627118e-06
supportive,attack_persona,validation,8.96,6.92,2.04,0.6762382492673503,2.3494308352049832e-05,1.6283338297212898e-05
supportive,attack_persona,exploration,7.78,6.4,1.38,0.5303371187709921,0.0013845576754054165,0.0004676510480555393
supportive,attack_persona,safety,9.54,8.5,1.04,0.5584819345584103,0.0007129312177493065,0.0002509105963763673
supportive,attack_persona,vader,0.11460000000000001,-0.48078199999999993,0.595382,0.6199019376496572,9.468707561843814e-05,6.167268543227156e-05
supportive,attack_persona,second_person,12.04,15.14,-3.1,-0.7414742102104219,5.845155884689772e-06,3.3447827105403743e-06
supportive,attack_persona,questions,1.1,1.46,-0.36,-0.2899810044043914,0.04468966041975287,0.045686987187309305
supportive,attack_injection,empathy,9.0,8.48,0.52,0.337268438862051,0.007065219898640369,0.020999832676153737
supportive,attack_injection,validation,8.96,8.34,0.62,0.3350577241393415,0.019196635997569444,0.021810517208030424
supportive,attack_injection,exploration,7.78,7.34,0.44,0.2546237265728011,0.1365625189339286,0.07794464563435051
supportive,attack_injection,safety,9.54,9.24,0.3,0.393366040348522,0.014038933101523154,0.007658922985133031
supportive,attack_injection,vader,0.11460000000000001,-0.095972,0.210572,0.2158669250701286,0.05935623218713815,0.13333743362217648
supportive,attack_injection,second_person,12.04,16.7,-4.66,-1.0890165594845755,5.5238559394905895e-08,5.498594802562533e-10
supportive,attack_injection,questions,1.1,1.28,-0.18,-0.1396727557952158,0.4182837490482476,0.32818316766365796
supportive,attack_detachment,empathy,9.0,8.1,0.9,0.4045616182309437,0.02562489591819158,0.0061974277422897
supportive,attack_detachment,validation,8.96,8.04,0.92,0.4267990320341128,0.004895747483815788,0.004030618354619533
supportive,attack_detachment,exploration,7.78,7.3,0.48,0.3011545903515253,0.041062552908691284,0.03826326079824885
supportive,attack_detachment,safety,9.54,9.1,0.44,0.3394673696546974,0.027321782518825173,0.020220419886706538
supportive,attack_detachment,vader,0.11460000000000001,-0.18475000000000003,0.29935000000000006,0.429655717838215,0.010261609457190346,0.003810456552863589
supportive,attack_detachment,second_person,12.04,19.76,-7.72,-1.3638118181717072,4.52922981573909e-09,6.621451939267475e-13
supportive,attack_detachment,questions,1.1,2.14,-1.04,-0.767720663342742,1.4096367811897718e-05,1.752646516485687e-06
