reference,attack,metric,ref_mean,attack_mean,mean_drop,cohen_d,wilcoxon_p,ttest_p
default,attack_persona,empathy,6.7,0.0,6.7,5.227269629878548,4.4282715797232423e-10,1.8906440563348936e-37
default,attack_persona,validation,7.24,0.04,7.2,5.939696957066999,4.1881679467238514e-10,4.359106924483103e-40
default,attack_persona,exploration,2.36,0.0,2.36,1.708275033063972,4.77427887143454e-10,2.651813379777443e-16
default,attack_persona,safety,6.28,0.2,6.08,2.309227021196006,6.582898563965899e-10,1.8610793282992142e-21
default,attack_persona,vader,0.7081820000000002,-0.7331300000000001,1.4413119999999997,2.539790066327804,5.861977570020827e-14,3.3814479174370586e-23
default,attack_persona,second_person,9.28,6.84,2.44,0.5878064236828808,0.0002447590339434508,0.0001293105918541759
default,attack_persona,questions,0.16,1.98,-1.82,-1.0639596053977822,1.3478978741185315e-08,1.0302494611659281e-09
default,attack_injection,empathy,6.7,1.22,5.48,3.066543851964223,6.161146471210107e-10,9.113612467896608e-27
default,attack_injection,validation,7.24,1.36,5.88,2.7669689426254696,6.75986903927281e-10,8.41264993277655e-25
default,attack_injection,exploration,2.36,0.34,2.02,1.0689446133991147,1.2902393855774438e-08,9.091477980042751e-10
default,attack_injection,safety,6.28,1.38,4.9,1.6124446963667731,1.6475061615870836e-09,2.1671909397268544e-15
default,attack_injection,vader,0.7081820000000002,-0.153328,0.86151,1.0586979529219387,1.3149694666481082e-09,1.1756895770887656e-09
default,attack_injection,second_person,9.28,4.58,4.7,1.0278740845792804,3.276855144291842e-07,2.5514637921392255e-09
default,attack_injection,questions,0.16,0.72,-0.56,-0.41247164834477906,0.013410363570852395,0.0053257444074638225
default,attack_detachment,empathy,6.7,1.1,5.6,4.2270447063840875,5.244618313894667e-10,4.0443378488790484e-33
default,attack_detachment,validation,7.24,1.24,6.0,4.638124091558189,5.029522814976559e-10,5.298727086403567e-35
default,attack_detachment,exploration,2.36,0.66,1.7,1.1219427587422108,3.30047541956066e-08,2.41618847538556e-10
default,attack_detachment,safety,6.28,2.1,4.18,1.8911692175423258,9.287850110129286e-10,5.667997664048187e-18
default,attack_detachment,vader,0.7081820000000002,-0.21200000000000002,0.920182,1.0335577937862572,1.6183291151605772e-08,2.211465320678303e-09
default,attack_detachment,second_person,9.28,8.2,1.08,0.3791009915021136,0.017534090888888416,0.009981909741263199
default,attack_detachment,questions,0.16,0.24,-0.08,-0.1331824181415389,0.6128228997043152,0.35094475913424106
supportive,attack_persona,empathy,7.88,0.0,7.88,12.562345745009587,1.0744321616626244e-10,8.329518964199334e-56
supportive,attack_persona,validation,7.98,0.04,7.94,11.63484820935825,1.7029729290459454e-10,3.4845197168725025e-54
supportive,attack_persona,exploration,6.7,0.0,6.7,5.585708709908642,2.9587084757258803e-10,8.132217335964739e-39
supportive,attack_persona,safety,5.86,0.2,5.66,2.157534798034696,6.396623937629271e-10,3.03779558241109e-20
supportive,attack_persona,vader,-0.11765399999999997,-0.7331300000000001,0.6154760000000001,0.7779526972725508,2.4281497463363166e-05,1.360679852793956e-06
supportive,attack_persona,second_person,10.1,6.84,3.26,0.7246745362200582,2.9388098792640047e-05,5.045376849553812e-06
supportive,attack_persona,questions,1.32,1.98,-0.66,-0.3973026936324084,0.011513110911557677,0.007112106240064934
supportive,attack_injection,empathy,7.88,1.22,6.66,4.23433416892423,5.658339607666966e-10,3.732909167834308e-33
supportive,attack_injection,validation,7.98,1.36,6.62,3.4754782765040253,6.281854319096601e-10,3.2821977611262486e-29
supportive,attack_injection,exploration,6.7,0.34,6.36,3.7690935908947303,4.857503759626033e-10,8.093858646240996e-31
supportive,attack_injection,safety,5.86,1.38,4.48,1.5789324816640469,2.9815096998358703e-09,4.5815832901494694e-15
supportive,attack_injection,vader,-0.11765399999999997,-0.153328,0.035673999999999984,0.040865145281676556,0.9466061989829431,0.7738308418242217
supportive,attack_injection,second_person,10.1,4.58,5.52,1.1106016350777155,1.0081079241355203e-07,3.2060419981456245e-10
supportive,attack_injection,questions,1.32,0.72,0.6,0.447721504012691,0.0007768696953489807,0.0026589235538707918
supportive,attack_detachment,empathy,7.88,1.1,6.78,8.314807389824159,3.854158449853285e-10,4.1694422016861745e-47
supportive,attack_detachment,validation,7.98,1.24,6.74,6.836963172626906,4.312382984438279e-10,5.187107468988686e-43
supportive,attack_detachment,exploration,6.7,0.66,6.04,3.961274973745164,5.42766682787751e-10,8.199418232803425e-32
supportive,attack_detachment,safety,5.86,2.1,3.76,1.0314670690054486,5.012750479252895e-07,2.330900797875253e-09
supportive,attack_detachment,vader,-0.11765399999999997,-0.21200000000000002,0.09434600000000003,0.09060517876007368,0.3422827758111566,0.52471868631632
supportive,attack_detachment,second_person,10.1,8.2,1.9,0.6211292349143713,0.0001675549240063498,5.993411068551643e-05
supportive,attack_detachment,questions,1.32,0.24,1.08,1.387681653842107,9.003278724306778e-09,3.7606599615804736e-13
