reference,attack,metric,ref_mean,attack_mean,mean_drop,cohen_d,wilcoxon_p,ttest_p
default,attack_persona,empathy,4.44,0.66,3.78,1.0943792833994206,2.684913998329496e-07,4.808260994420795e-10
default,attack_persona,validation,4.44,0.5,3.94,1.074511021156955,4.21464859818281e-07,7.907241136852133e-10
default,attack_persona,exploration,3.36,0.36,3.0,0.9834151018384103,3.833771078351956e-07,7.822206592317704e-09
default,attack_persona,safety,7.12,2.62,4.5,1.0943702975869982,1.3919249971501535e-07,4.809341652501746e-10
default,attack_persona,vader,0.40661,-0.06615999999999998,0.47277,0.5244765998310451,0.0009504084140701252,0.0005314299483089043
default,attack_persona,second_person,12.02,8.38,3.64,0.5005208128364793,0.002132382309609282,0.0008900805336485676
default,attack_persona,questions,1.42,1.14,0.28,0.1452529457731928,0.34387396335195697,0.30942017114751197
default,attack_injection,empathy,4.44,0.68,3.76,1.0880864782570117,3.79471292328496e-07,5.628080967420465e-10
default,attack_injection,validation,4.44,0.62,3.82,1.011124883632271,2.978120950538612e-06,3.890036807637748e-09
default,attack_injection,exploration,3.36,0.16,3.2,1.046683261933477,7.7307411318062e-08,1.5898368221637097e-09
default,attack_injection,safety,7.12,2.78,4.34,0.9788700112974815,4.5383867756221474e-07,8.772439276678311e-09
default,attack_injection,vader,0.40661,-0.070144,0.476754,0.5433335291959176,0.0003825853095680287,0.0003514097309048902
default,attack_injection,second_person,12.02,10.14,1.88,0.28695073608161237,0.20513066887134723,0.0479044889743675
default,attack_injection,questions,1.42,0.78,0.64,0.39364940184092917,0.004079902381645333,0.0076183014266903585
default,attack_detachment,empathy,4.44,0.78,3.66,1.024619682515501,1.6238640433309086e-06,2.769257228857802e-09
default,attack_detachment,validation,4.44,0.68,3.76,0.986993831048747,8.793745540444937e-06,7.147092072862311e-09
default,attack_detachment,exploration,3.36,0.48,2.88,0.8863957886313724,3.7531755835070923e-06,9.036184099557811e-08
default,attack_detachment,safety,7.12,2.92,4.2,0.9306407384081775,9.74337252838647e-07,2.9623167820563906e-08
default,attack_detachment,vader,0.40661,0.136774,0.26983599999999996,0.32076294695023677,0.014890897756602683,0.027763835097486544
default,attack_detachment,second_person,12.02,13.08,-1.06,-0.12962166998149974,0.15392038463024238,0.3638605416998576
default,attack_detachment,questions,1.42,1.3,0.12,0.07017565895535344,0.7577811250582027,0.6219601066938234
supportive,attack_persona,empathy,7.28,0.66,6.62,3.154644569749287,4.997392319435284e-10,2.5780813349144615e-27
supportive,attack_persona,validation,7.22,0.5,6.72,3.0877949668858244,5.002114089035968e-10,6.702560121501943e-27
supportive,attack_persona,exploration,6.82,0.36,6.46,3.032100832064511,6.584304903711426e-10,1.505186216751388e-26
supportive,attack_persona,safety,6.56,2.62,3.94,0.7804486595946017,1.6712179134479662e-05,1.2790795707864904e-06
supportive,attack_persona,vader,0.16264399999999998,-0.06615999999999998,0.22880399999999998,0.27124433619121063,0.064886242135481,0.060950138081654504
supportive,attack_persona,second_person,8.88,8.38,0.5,0.09319261515987058,0.5815136930824724,0.5129991510048764
supportive,attack_persona,questions,1.66,1.14,0.52,0.33726843886205105,0.002697107714686372,0.02099983267615369
supportive,attack_injection,empathy,7.28,0.68,6.6,3.073178284767382,5.769971668600328e-10,8.278425067426038e-27
supportive,attack_injection,validation,7.22,0.62,6.6,2.910326440887716,6.064908012409856e-10,9.212555974144486e-26
supportive,attack_injection,exploration,6.82,0.16,6.66,3.148706511517161,5.035231582450373e-10,2.804534766002198e-27
supportive,attack_injection,safety,6.56,2.78,3.78,0.708546118845406,9.576511752346469e-05,7.470634771758804e-06
supportive,attack_injection,vader,0.16264399999999998,-0.070144,0.23278800000000005,0.2628811939888303,0.10953049393459402,0.0690594447447213
supportive,attack_injection,second_person,8.88,10.14,-1.26,-0.19606681930872238,0.1999041691421335,0.17190048707390956
supportive,attack_injection,questions,1.66,0.78,0.88,0.6670480455036548,2.7289845223404866e-05,2.028485021902326e-05
supportive,attack_detachment,empathy,7.28,0.78,6.5,2.85211808942139,7.643094803818549e-10,2.2376926432819526e-25
supportive,attack_detachment,validation,7.22,0.68,6.54,2.836864684323569,7.662406745730181e-10,2.830269337734838e-25
supportive,attack_detachment,exploration,6.82,0.48,6.34,2.95722126590127,7.010319754092547e-10,4.553155961825518e-26
supportive,attack_detachment,safety,6.56,2.92,3.64,0.6845308477280564,0.0001226144949778683,1.3344687079802507e-05
supportive,attack_detachment,vader,0.16264399999999998,0.136774,0.025869999999999997,0.029778605662805983,0.8332778036429911,0.8340987242446873
supportive,attack_detachment,second_person,8.88,13.08,-4.2,-0.47029466573831197,0.002420200617742663,0.0016779242989183386
supportive,attack_detachment,questions,1.66,1.3,0.36,0.2634162329594888,0.022492403331021663,0.06851456419092683
