reference,attack,metric,ref_mean,attack_mean,mean_drop,cohen_d,wilcoxon_p,ttest_p
default,attack_persona,empathy,7.2,1.42,5.78,1.3122952052385013,2.855749736853414e-08,2.269888591961053e-12
default,attack_persona,validation,6.8,1.32,5.48,1.2629906016540982,3.5125260015268797e-08,7.480569505638194e-12
default,attack_persona,exploration,4.44,0.26,4.18,1.17569787382651,1.4468121206004823e-07,6.362559865566649e-11
default,attack_persona,safety,9.46,4.54,4.92,1.158552262686266,3.49463769734918e-08,9.726274742469718e-11
default,attack_persona,vader,0.32177800000000006,-0.20227399999999998,0.524052,0.5337067663623181,0.0007261627070427323,0.0004343818974171199
default,attack_persona,second_person,10.88,8.14,2.74,0.4969478951300505,0.0027590728216670547,0.0009603084367305097
default,attack_persona,questions,1.2,1.12,0.08,0.0445963916814392,0.8486484859180048,0.7538395276090515
default,attack_injection,empathy,7.2,2.22,4.98,1.005910855888036,2.2001909160919723e-07,4.436181980228082e-09
default,attack_injection,validation,6.8,2.1,4.7,0.9281424823949936,1.148803181247367e-06,3.155028655513781e-08
default,attack_injection,exploration,4.44,0.26,4.18,1.0894122964066053,2.0265230949942753e-07,5.44441176678479e-10
default,attack_injection,safety,9.46,4.96,4.5,0.9352081945744868,1.0646254946788022e-05,2.639883951690718e-08
default,attack_injection,vader,0.32177800000000006,-0.055993999999999995,0.377772,0.3989936609505455,0.0061150590926277336,0.006888504407081833
default,attack_injection,second_person,10.88,9.98,0.9,0.14286852981038914,0.5171066579619037,0.31734638625264544
default,attack_injection,questions,1.2,0.96,0.24,0.135766718528597,0.04724701618289465,0.34176073486993686
default,attack_detachment,empathy,7.2,2.62,4.58,0.9736723161831122,1.1191442001693747e-06,1.0001562299279653e-08
default,attack_detachment,validation,6.8,2.66,4.14,0.8012927047472327,1.3702242890395742e-05,7.621286024462846e-07
default,attack_detachment,exploration,4.44,1.02,3.42,0.8671522828014843,3.5882656618404357e-06,1.4662697301147818e-07
default,attack_detachment,safety,9.46,5.44,4.02,1.0069412604232792,4.7386820341693216e-07,4.322476975821923e-09
default,attack_detachment,vader,0.32177800000000006,-0.007470000000000005,0.32924799999999993,0.3532471944820607,0.033693454506127984,0.0159014664670289
default,attack_detachment,second_person,10.88,13.0,-2.12,-0.30814654976694755,0.005403026854677896,0.03417522986932175
default,attack_detachment,questions,1.2,1.18,0.02,0.01147001670630183,0.7542830972930112,0.9356886148486749
supportive,attack_persona,empathy,8.88,1.42,7.46,3.0228939004940174,2.287898689800513e-10,1.7225715346805536e-26
supportive,attack_persona,validation,8.44,1.32,7.12,2.6516640923259565,5.296607709874008e-10,5.321896226902515e-24
supportive,attack_persona,exploration,7.38,0.26,7.12,5.160404729944751,3.665272475589618e-10,3.4766346442137706e-37
supportive,attack_persona,safety,9.5,4.54,4.96,1.0936206068364704,2.461841401501978e-07,4.900365834336542e-10
supportive,attack_persona,vader,0.10556200000000002,-0.20227399999999998,0.307836,0.3225671942416919,0.060701401498306495,0.02694014899170054
supportive,attack_persona,second_person,8.7,8.14,0.56,0.10027182484312777,0.5948678761972908,0.48166660463455313
supportive,attack_persona,questions,1.78,1.12,0.66,0.5004621188520585,0.0009770285200034667,0.0008911935085149877
supportive,attack_injection,empathy,8.88,2.22,6.66,1.8919046094413883,5.570113002948386e-10,5.58342381538317e-18
supportive,attack_injection,validation,8.44,2.1,6.34,1.7664319946890026,2.5778886664014175e-09,7.627858465516967e-17
supportive,attack_injection,exploration,7.38,0.26,7.12,4.417717596531963,3.053024643429654e-10,5.17446722480471e-34
supportive,attack_injection,safety,9.5,4.96,4.54,0.8785779629317044,0.00014977700231277676,1.100104847821433e-07
supportive,attack_injection,vader,0.10556200000000002,-0.055993999999999995,0.16155599999999995,0.1699097415558141,0.1515030570827971,0.23535429514019515
supportive,attack_injection,second_person,8.7,9.98,-1.28,-0.20956097527332637,0.16987502964024548,0.1447910391085014
supportive,attack_injection,questions,1.78,0.96,0.82,0.5298035201429981,0.00014163912548931508,0.0004731391237687317
supportive,attack_detachment,empathy,8.88,2.62,6.26,1.8657453638594785,9.78909121320724e-10,9.551234164601879e-18
supportive,attack_detachment,validation,8.44,2.66,5.78,1.5694672026250975,6.216720588424468e-09,5.667732866782089e-15
supportive,attack_detachment,exploration,7.38,1.02,6.36,2.7219304723028235,4.937704671173011e-10,1.7168860343497494e-24
supportive,attack_detachment,safety,9.5,5.44,4.06,0.9597737103959576,4.930553805837891e-06,1.4202721219832721e-08
supportive,attack_detachment,vader,0.10556200000000002,-0.007470000000000005,0.11303200000000001,0.11034357898538011,0.7018365959451138,0.43899848399573405
supportive,attack_detachment,second_person,8.7,13.0,-4.3,-0.5371147719319983,0.0011688402079404491,0.000403055585571108
supportive,attack_detachment,questions,1.78,1.18,0.6,0.3802501331375942,0.0027098711604146416,0.009773172371876394
