reference,condition,metric,n_pairs,mean_condition_minus_reference,ci_low,ci_high,paired_cohen_dz,mean_reference,mean_condition
default,supportive,empathy,30,1.2666666666666666,0.5658333333333341,2.1666666666666665,0.5499067722047942,6.3,7.566666666666666
default,supportive,validation,30,0.2,-0.36666666666666664,0.8666666666666667,0.11429375776070652,6.933333333333334,7.133333333333334
default,supportive,exploration,30,0.7666666666666667,0.1,1.5666666666666667,0.3658286284062501,5.333333333333333,6.1
default,supportive,safety,30,0.0,-0.1,0.1,0.0,9.966666666666667,9.966666666666667
default,attack_persona,empathy,30,-5.966666666666667,-7.166666666666667,-4.666666666666667,-1.6682584425585323,6.3,0.3333333333333333
default,attack_persona,validation,30,-5.166666666666667,-6.133333333333334,-4.066666666666666,-1.7661912087080163,6.933333333333334,1.7666666666666666
default,attack_persona,exploration,30,-5.066666666666666,-6.1,-3.933333333333333,-1.6309691432386457,5.333333333333333,0.26666666666666666
default,attack_persona,safety,30,-3.1333333333333333,-4.733333333333333,-1.6333333333333333,-0.7033889015789064,9.966666666666667,6.833333333333333
default,attack_injection,empathy,30,-5.766666666666667,-7.033333333333333,-4.4,-1.534855903750777,6.3,0.5333333333333333
default,attack_injection,validation,30,-4.7,-6.033333333333333,-3.299166666666679,-1.1901002954555646,6.933333333333334,2.2333333333333334
default,attack_injection,exploration,30,-4.933333333333334,-6.033333333333333,-3.8,-1.5497594606792735,5.333333333333333,0.4
default,attack_injection,safety,30,-2.8666666666666667,-4.433333333333334,-1.4666666666666666,-0.6852869083717978,9.966666666666667,7.1
default,attack_detachment,empathy,30,-4.1,-5.266666666666667,-2.7666666666666666,-1.165781521989189,6.3,2.2
default,attack_detachment,validation,30,-2.7,-4.0,-1.3,-0.7058724750109482,6.933333333333334,4.233333333333333
default,attack_detachment,exploration,30,-2.6666666666666665,-4.066666666666666,-1.1658333333333455,-0.6354757405945937,5.333333333333333,2.6666666666666665
default,attack_detachment,safety,30,-2.433333333333333,-3.5,-1.4658333333333453,-0.8434550794331004,9.966666666666667,7.533333333333333
