reference,attack,metric,ref_mean,attack_mean,mean_drop,cohen_d,wilcoxon_p,ttest_p
default,attack_persona,empathy,6.24,0.7,5.54,3.3957499779227462,6.06777219231529e-10,9.395109598092209e-29
default,attack_persona,validation,6.52,0.8,5.72,3.164648872729614,6.255810815850101e-10,2.237804998898641e-27
default,attack_persona,exploration,2.06,0.1,1.96,1.8684400559295948,3.473620975357453e-10,9.035559994427275e-18
default,attack_persona,safety,6.22,1.4,4.82,1.5540303708271386,9.64913621517186e-10,8.028361608164376e-15
default,attack_persona,vader,0.7126700000000001,0.004256000000000005,0.7084140000000001,0.8178483086722269,5.951474850718341e-07,5.043889578530079e-07
default,attack_persona,second_person,13.84,17.2,-3.36,-0.3902950984526209,0.013398521791942496,0.0081121768959708
default,attack_persona,questions,0.04,0.26,-0.22,-0.20845098649055605,0.31039316247811466,0.14688533765980163
default,attack_injection,empathy,6.24,2.92,3.32,1.7675175983134532,8.902516547000275e-10,7.454029465845501e-17
default,attack_injection,validation,6.52,2.98,3.54,1.6922661053930534,9.369656731412275e-10,3.7511556630192113e-16
default,attack_injection,exploration,2.06,0.82,1.24,0.9299525539539699,1.576768691977415e-07,3.014197184279955e-08
default,attack_injection,safety,6.22,5.46,0.76,0.22300248790938076,0.29053923804667714,0.12126137939471758
default,attack_injection,vader,0.7126700000000001,0.605936,0.10673400000000001,0.14737435012495848,0.34720687274462314,0.30248252294554406
default,attack_injection,second_person,13.84,7.22,6.62,1.2079100115926014,3.7489591228975127e-08,2.876063810072255e-11
default,attack_injection,questions,0.04,0.06,-0.02,-0.052990781346911375,0.991447847770374,0.7094994006363986
default,attack_detachment,empathy,6.24,3.0,3.24,2.5181354028930363,5.49122743670735e-10,4.8705867700378053e-23
default,attack_detachment,validation,6.52,3.66,2.86,1.5926048874448204,2.0818530807206293e-09,3.3728317289637753e-15
default,attack_detachment,exploration,2.06,1.3,0.76,0.5573201899277328,2.382062648688281e-05,0.0002575128813535846
default,attack_detachment,safety,6.22,4.84,1.38,0.5319428421940211,0.0005057451651587116,0.00045150284260936927
default,attack_detachment,vader,0.7126700000000001,0.4629780000000001,0.249692,0.3783167723481407,0.0523407740756368,0.010126701385330688
default,attack_detachment,second_person,13.84,9.3,4.54,0.9149653101993266,1.3462099621047382e-06,4.3988953133483213e-08
default,attack_detachment,questions,0.04,0.02,0.02,0.08109982216202986,0.7912624548111306,0.5689544686260503
supportive,attack_persona,empathy,7.24,0.7,6.54,4.071626151090191,4.891440469421091e-10,2.3009725438715607e-32
supportive,attack_persona,validation,7.32,0.8,6.52,3.8506884845192246,5.784747514127228e-10,3.0244763286355474e-31
supportive,attack_persona,exploration,5.04,0.1,4.94,2.615347675939905,6.380460848020251e-10,9.636155744959283e-24
supportive,attack_persona,safety,7.28,1.4,5.88,2.1960825136552637,6.963869032672626e-10,1.4758380050204767e-20
supportive,attack_persona,vader,0.8084220000000001,0.004256000000000005,0.804166,0.9699121265263525,1.757493883758343e-08,1.0996881500712839e-08
supportive,attack_persona,second_person,11.08,17.2,-6.12,-0.7420165020283034,6.0962546652032665e-05,3.3005757613340823e-06
supportive,attack_persona,questions,0.72,0.26,0.46,0.39509945961731757,1.7158317369993774e-05,0.007413524884065947
supportive,attack_injection,empathy,7.24,2.92,4.32,2.2120776808741622,6.864326739346936e-10,1.0965402360187785e-20
supportive,attack_injection,validation,7.32,2.98,4.34,2.1632777929923286,6.842380644223521e-10,2.726556849632138e-20
supportive,attack_injection,exploration,5.04,0.82,4.22,2.1397933300693093,6.667919875154102e-10,4.24719283134244e-20
supportive,attack_injection,safety,7.28,5.46,1.82,0.5794621709665754,0.00022209612359792228,0.0001563701042072275
supportive,attack_injection,vader,0.8084220000000001,0.605936,0.202486,0.3404731134209235,0.0014315119741414861,0.01987268161705833
supportive,attack_injection,second_person,11.08,7.22,3.86,0.887922704695362,1.070985206944281e-06,8.695405302873807e-08
supportive,attack_injection,questions,0.72,0.06,0.66,1.0538172012470068,2.421158404199424e-07,1.3289739217817494e-09
supportive,attack_detachment,empathy,7.24,3.0,4.24,3.2953376877365663,5.138395768769815e-10,3.6409860630728686e-28
supportive,attack_detachment,validation,7.32,3.66,3.66,2.203224028325174,6.993891786029479e-10,1.2922863809909943e-20
supportive,attack_detachment,exploration,5.04,1.3,3.74,1.862319516345287,9.097460788796854e-10,1.0250213754446476e-17
supportive,attack_detachment,safety,7.28,4.84,2.44,1.0312385276073162,4.434984583268154e-08,2.344342630365672e-09
supportive,attack_detachment,vader,0.8084220000000001,0.4629780000000001,0.34544400000000003,0.4446108260577624,0.0009871220775430345,0.0028304524685303007
supportive,attack_detachment,second_person,11.08,9.3,1.78,0.4554061931032219,0.003458822184338393,0.0022762044015440935
supportive,attack_detachment,questions,0.72,0.02,0.7,1.139226857835375,7.957351098130238e-08,1.5714149510652458e-10
