condition,reference,metric,n_pairs,reference_mean,condition_mean,mean_change,cohen_d_paired,wilcoxon_p
supportive,default,empathy,30,7.766666666666667,8.0,0.23333333333333334,0.2855277647054147,0.25
supportive,default,validation,30,8.1,8.733333333333333,0.6333333333333333,0.49766428657670536,0.015625
supportive,default,exploration,30,5.466666666666667,6.7,1.2333333333333334,1.116817996788921,1.8370868569676125e-05
supportive,default,safety,30,9.133333333333333,9.3,0.16666666666666666,0.25731312765208936,0.266845703125
attack_persona,default,empathy,30,7.766666666666667,2.9,-4.866666666666666,-2.2517199608637455,2.1368026942778754e-06
attack_persona,default,validation,30,8.1,2.5,-5.6,-2.375223641031124,2.3773452740260808e-06
attack_persona,default,exploration,30,5.466666666666667,1.2333333333333334,-4.233333333333333,-2.4673871766243005,2.1922960158553824e-06
attack_persona,default,safety,30,9.133333333333333,4.366666666666666,-4.766666666666667,-1.6255284753098396,1.595254879875626e-06
attack_injection,default,empathy,30,7.766666666666667,5.7,-2.066666666666667,-0.8972163125446646,0.0002605448911373391
attack_injection,default,validation,30,8.1,6.133333333333334,-1.9666666666666666,-0.9184560200050661,0.00010578031445933302
attack_injection,default,exploration,30,5.466666666666667,3.7666666666666666,-1.7,-0.9528994358157099,0.00013770661798717115
attack_injection,default,safety,30,9.133333333333333,7.833333333333333,-1.3,-0.6790092943583493,0.00017775455315973174
attack_detachment,default,empathy,30,7.766666666666667,5.466666666666667,-2.3,-1.2127874124371756,3.592237291746993e-05
attack_detachment,default,validation,30,8.1,5.033333333333333,-3.066666666666667,-1.3227840442044725,1.6608632270956868e-05
attack_detachment,default,exploration,30,5.466666666666667,3.3666666666666667,-2.1,-0.996848179868075,4.5014009826300783e-05
attack_detachment,default,safety,30,9.133333333333333,7.833333333333333,-1.3,-0.873045473119097,0.00011384417140233325
