reference,attack,metric,ref_mean,attack_mean,mean_drop,cohen_d,wilcoxon_p,ttest_p
default,attack_persona,empathy,8.833333333333334,5.8,3.033333333333333,0.9710721457280603,1.4080136201130031e-05,1.0459739611010797e-05
default,attack_persona,validation,8.8,6.0,2.8,0.8781997124402031,0.00012594883579657436,4.299505174335888e-05
default,attack_persona,exploration,5.3,5.2,0.1,0.04746896092356579,0.8683731604338377,0.7967022537603267
default,attack_persona,safety,8.966666666666667,7.2,1.7666666666666666,0.7489394366499585,0.0011869116841066833,0.00030298408315098193
default,attack_persona,vader,0.09946000000000002,-0.28318,0.38264,0.3716778649716164,0.0426517054438591,0.05100095296418252
default,attack_persona,affect_ratio,0.020397061205647122,0.012784392900270428,0.007612668305376691,0.6815467502061899,0.0005548261106014252,0.0008217743146069627
default,attack_persona,second_person,19.0,13.466666666666667,5.533333333333333,1.0913692616737796,3.021724606314743e-05,1.693423965432614e-06
default,attack_persona,questions,0.8333333333333334,1.5333333333333334,-0.7,-0.5938059097540588,0.003741898359170912,0.0029015512945149632
default,attack_injection,empathy,8.833333333333334,7.266666666666667,1.5666666666666667,0.5803063899722861,0.0017510253598224952,0.003505843529047921
default,attack_injection,validation,8.8,7.433333333333334,1.3666666666666667,0.49510603332449865,0.043245938209853355,0.01113103511480691
default,attack_injection,exploration,5.3,5.6,-0.3,-0.1566944524623906,0.3295358675138864,0.3977921655791937
default,attack_injection,safety,8.966666666666667,8.2,0.7666666666666667,0.37171207118782074,0.1603969102481846,0.05098097202082184
default,attack_injection,vader,0.09946000000000002,-0.15138333333333331,0.25084333333333336,0.2557888333022739,0.17059839516878128,0.17182089591221955
default,attack_injection,affect_ratio,0.020397061205647122,0.01379899176732393,0.0065980694383231935,0.6853277293304811,0.001038169488310814,0.0007774696923903799
default,attack_injection,second_person,19.0,14.533333333333333,4.466666666666667,0.6893725762065623,0.0011822964592663686,0.0007326549962870532
default,attack_injection,questions,0.8333333333333334,1.1,-0.26666666666666666,-0.21682053594398745,0.1343418683585344,0.24463719447254736
default,attack_detachment,empathy,8.833333333333334,7.3,1.5333333333333334,0.6342981316246529,9.743561533463525e-05,0.0016313165152672256
default,attack_detachment,validation,8.8,7.466666666666667,1.3333333333333333,0.509419110143437,0.0034965966165537883,0.009214796157033753
default,attack_detachment,exploration,5.3,6.6,-1.3,-0.5242840908960863,0.009663303714636449,0.007555339938818416
default,attack_detachment,safety,8.966666666666667,8.1,0.8666666666666667,0.42002605404676496,0.08117489708150837,0.028800256918737083
default,attack_detachment,vader,0.09946000000000002,-0.039669999999999976,0.13913000000000003,0.1452127100123387,0.1641840822994709,0.4328645749107656
default,attack_detachment,affect_ratio,0.020397061205647122,0.01022278463792117,0.010174276567725954,0.9940094124966452,5.544688150746612e-05,7.380952268244444e-06
default,attack_detachment,second_person,19.0,18.8,0.2,0.044613800711629514,0.8689189614093118,0.8086727977496965
default,attack_detachment,questions,0.8333333333333334,1.9666666666666666,-1.1333333333333333,-0.7120516436485139,0.0003665407785374009,0.0005244251569889811
supportive,attack_persona,empathy,9.2,5.8,3.4,1.0379062369351009,1.4282189731786014e-05,3.7936020701815785e-06
supportive,attack_persona,validation,9.1,6.0,3.1,0.9595209957164086,1.390246370380049e-05,1.2469104793768232e-05
supportive,attack_persona,exploration,8.066666666666666,5.2,2.8666666666666667,0.8950700839597382,0.00038235357047806224,3.326156844500481e-05
supportive,attack_persona,safety,9.266666666666667,7.2,2.066666666666667,0.8344919478532,0.00017704987461659893,8.350234912306192e-05
supportive,attack_persona,vader,0.058073333333333345,-0.28318,0.3412533333333333,0.38398590334162686,0.03272089920938015,0.04424218507616485
supportive,attack_persona,affect_ratio,0.032059773473212004,0.012784392900270428,0.019275380572941578,1.5430864842103271,3.5390257835388184e-08,2.5881795613758067e-09
supportive,attack_persona,second_person,13.0,13.466666666666667,-0.4666666666666667,-0.11429375773271426,0.7412324451285137,0.5362030951500086
supportive,attack_persona,questions,1.1,1.5333333333333334,-0.43333333333333335,-0.35435868000720555,0.10593576707537065,0.062045773004141824
supportive,attack_injection,empathy,9.2,7.266666666666667,1.9333333333333333,0.683733058159256,0.00019756838721336016,0.0007958647580643861
supportive,attack_injection,validation,9.1,7.433333333333334,1.6666666666666667,0.615457454669391,0.0007288656969457749,0.002135751270604409
supportive,attack_injection,exploration,8.066666666666666,5.6,2.466666666666667,0.8062156210369085,0.0007751490669369188,0.00012809703075175247
supportive,attack_injection,safety,9.266666666666667,8.2,1.0666666666666667,0.48921310759407177,0.018434959204598072,0.012023383776261075
supportive,attack_injection,vader,0.058073333333333345,-0.15138333333333331,0.20945666666666665,0.2598583319794668,0.10200163430697948,0.16531850240942808
supportive,attack_injection,affect_ratio,0.032059773473212004,0.01379899176732393,0.018260781705888084,1.111985584107858,8.326023817062378e-07,1.2426318346124464e-06
supportive,attack_injection,second_person,13.0,14.533333333333333,-1.5333333333333334,-0.25488909266827653,0.24451560464981226,0.17328538284147213
supportive,attack_injection,questions,1.1,1.1,0.0,0.0,0.8248125741940059,1.0
supportive,attack_detachment,empathy,9.2,7.3,1.9,0.7611557341015904,2.1386327729719622e-05,0.00025236485296467067
supportive,attack_detachment,validation,9.1,7.466666666666667,1.6333333333333333,0.6267256312805166,9.561957724649344e-05,0.0018184322917667072
supportive,attack_detachment,exploration,8.066666666666666,6.6,1.4666666666666666,0.504120267472564,0.11748145371790776,0.009884983403397368
supportive,attack_detachment,safety,9.266666666666667,8.1,1.1666666666666667,0.5384066127742086,0.0031892671087446443,0.006243282340978085
supportive,attack_detachment,vader,0.058073333333333345,-0.039669999999999976,0.09774333333333335,0.11552191318152509,0.583757072687149,0.531861678497251
supportive,attack_detachment,affect_ratio,0.032059773473212004,0.01022278463792117,0.021836988835290845,1.4206022161362917,3.5390257835388184e-08,1.3988968136749825e-08
